Price,quartier,region,nombre_chambres,nombre_sdb,superficie,type
350000,Ouest foire,Dakar,4,4,150,Appartement
1,Hann maristes,Dakar,2,2,1,Appartement
350000,Ouakam,Dakar,2,100 m²,,Appartement
1200000,Fenêtre mermoz,Dakar,3,,,Appartement
250000,Ouest foire,Dakar,2,2,,Appartement
1400000,Almadies,Dakar,3,3,160,Appartement
300000,Parcelles Assainies,Dakar,3,3,,Appartement
550000,Point-e,Dakar,3,4,,Appartement
500000,Mamelles,Dakar,2,2,,Appartement
500000,Mamelles,Dakar,2,2,,Appartement
450000,Yoff,Dakar,2,2,150,Appartement
650000,Ngor,Dakar,3,3,165,Appartement
280000,Liberte 6 extension,Dakar,3,,,Appartement
1500000,Mermoz,Dakar,3,2,,Appartement
120000,Keur ndiaye lô,Dakar,2,2,150,Appartement
330000,Ouakam,Dakar,2,3,,Appartement
460000,VDN,Dakar,3,3,,Appartement
1500000,Mamelles,Dakar,3,4,300,Appartement
1150000,Yoff,Dakar,3,,,Appartement
673400,Cité keur gorgui,Dakar,3,,,Appartement
450000,Dakar,Dakar,2,,,Appartement
1500000,Yoff,Dakar,4,,,Appartement
367000,Sicap baobab,Dakar,2,3,,Appartement
331000,Sicap baobab,Dakar,2,2,,Appartement
425000,Mamelles,Dakar,3,130 m²,,Appartement
650000,Mermoz,Dakar,3,3,120,Appartement
850000,Almadies,Dakar,3,5,150,Appartement
1500000,Almadies,Dakar,3,5,204,Appartement
2000000,Virage,Dakar,3,5,400,Appartement
1500000,Ouakam,Dakar,3,3,150,Appartement
1100000,Almadies,Dakar,3,5,200,Appartement
1000000,Ngor,Dakar,4,5,200,Appartement
550000,Sacré-cœur,Dakar,3,3,200,Appartement
2000000,Mermoz,Dakar,2,2,,Appartement
600000,Amitié,Dakar,3,3,,Appartement
950000,Mermoz,Dakar,3,2,,Appartement
1200000,Mermoz,Dakar,3,,,Appartement
1200000,Almadies,Dakar,4,4,,Appartement
275000,Mamelles,Dakar,1,2,,Appartement
1800000,Fenêtre mermoz,Dakar,4,4,250,Appartement
450000,Ngor,Dakar,3,3,,Appartement
,Ngor,Dakar,3,3,264,Appartement
1500000,Point-e,Dakar,4,6,280,Appartement
600000,Amitié,Dakar,3,3,150,Appartement
1800000,Mermoz,Dakar,,,,Appartement
1300000,Ngor,Dakar,4,300 m²,,Appartement
225000,Mermoz,Dakar,1,1,,Appartement
500000,Mamelles,Dakar,3,3,,Appartement
1150000,Almadies,Dakar,3,4,250,Appartement
1000000,Point-e,Dakar,3,,,Appartement
800000,Hann maristes,Dakar,3,4,,Appartement
200000,Sicap foire,Dakar,2,2,100,Appartement
175000,Sendou,Dakar,3,1,40,Appartement
450000,Sacré-cœur,Dakar,3,3,,Appartement
230000,Golf,Dakar,2,2,,Appartement
350000,Almadies,Dakar,2,3,152,Appartement
180000,Zac Mbao,Dakar,2,2,120,Appartement
750000,Almadies,Dakar,3,4,,Appartement
425000,Sacré-cœur,Dakar,3,3,,Appartement
250000,Sacré-cœur,Dakar,,,,Appartement
350000,Sacré-cœur,Dakar,,,,Appartement
450000,Sacré-cœur,Dakar,,,,Appartement
3000000,Fann,Dakar,3,4,,Appartement
2000000,Mermoz,Dakar,2,2,150,Appartement
310000,Liberte 6 extension,Dakar,2,2,,Appartement
1000000,Sicap Sacré-cœur,Dakar,3,4,300,Appartement
1000000,Mermoz,Dakar,3,3,200,Appartement
425000,Almadies,Dakar,2,2,,Appartement
40000,Virage,Dakar,,,,Appartement
600000,Corniche,Dakar,1,1,,Appartement
950000,Ouest foire,Dakar,2,2,110,Appartement
1600000,Almadies,Dakar,3,4,,Appartement
750000,Point-e,Dakar,2,2,,Appartement
900000,Ouakam,Dakar,4,3,250,Appartement
1800000,Almadies,Dakar,3,2,,Appartement
500000,Mermoz,Dakar,1,1,100,Appartement
700000,Mamelles,Dakar,,,,Appartement
2500000,Mermoz,Dakar,5,7,350,Appartement
850000,Point-e,Dakar,4,5,200,Appartement
1600000,Mermoz,Dakar,,,,Appartement
1300000,Mermoz,Dakar,3,3,,Appartement
1500000,Mermoz,Dakar,3,2,,Appartement
300000,Sacré-cœur,Dakar,2,160 m²,,Appartement
250000,Liberte 6,Dakar,2,2,130,Appartement
1800000,Almadies,Dakar,3,4,210,Appartement
,Mamelles,Dakar,5,6,400,Appartement
1000000,Virage,Dakar,3,1,,Appartement
900000,Almadies,Dakar,1,1,,Appartement
300000,HLM Grand Médine,Dakar,2,3,,Appartement
500000,Cité keur gorgui,Dakar,3,2,,Appartement
350000,Almadies,Dakar,2,2,,Appartement
265000,Mamelles,Dakar,1,1,,Appartement
900000,Fann,Dakar,3,4,200,Appartement
850000,Ouakam,Dakar,3,3,,Appartement
2000000,Almadies,Dakar,,,,Appartement
2200000,Fann,Dakar,,,,Appartement
2100000,Mermoz,Dakar,4,4,280,Appartement
850000,Point-e,Dakar,3,4,180,Appartement
600000,Ngor,Dakar,3,3,150,Appartement
125000,Diamniadio,Dakar,2,2,,Appartement
250000,Parcelles Assainies,Dakar,2,,,Appartement
950000,Almadies,Dakar,3,200 m²,,Appartement
1864800,Almadies,Dakar,3,2,290,Appartement
1300000,Point-e,Dakar,3,4,238,Appartement
850000,Point-e,Dakar,3,3,150,Appartement
650000,VDN,Dakar,3,4,190,Appartement
285000,Mamelles,Dakar,2,2,,Appartement
2300000,Fann,Dakar,3,4,250,Appartement
300000,Mamelles,Dakar,2,2,110,Appartement
1000000,Almadies,Dakar,4,4,300,Appartement
1200000,Point-e,Dakar,,,,Appartement
1400000,Dakar,Dakar,2,2,,Appartement
1000000,Point-e,Dakar,3,3,197,Appartement
450000,Liberte 1,Dakar,2,3,,Appartement
2000000,Fenêtre mermoz,Dakar,,,,Appartement
350000,Almadies,Dakar,2,2,90,Appartement
1800000,Nguering,Thiès,5,"2,000 m²",,Appartement
900000,Mermoz,Dakar,3,4,150,Appartement
750000,Almadies,Dakar,5,6,,Appartement
650000,VDN,Dakar,3,4,,Appartement
2200000,Almadies,Dakar,3,4,241,Appartement
