price,type,superficie,nombre_chambres,nombre_sdb,category,area,city
900000,Appartements,180,3,4,Location,Liberte 5,Dakar
1200000,Appartements,156,3,3,Location,Point-e,Dakar
90000000,Appartements,87,2,2,Location,Virage,Dakar
650000,Appartements,170,3,3,Location,Yoff,Dakar
950000,Appartements,170,3,2,Location,Mermoz,Dakar
1500000,Appartements,170,3,3,Location,Mermoz,Dakar
750000,Appartements,170,3,4,Location,Mermoz,Dakar
2500000,Villas,350,5,7,Location,Mermoz,Dakar
500000,Appartements,100,1,1,Location,Mermoz,Dakar
40000,Appartements,170,3,3,Location,Virage,Dakar
300000,Appartements,170,1,1,Location,Almadies,Dakar
,Appartements,210,3,2,Location,Mamelles,Dakar
1800000,Villas,2,5,3,Location,Nguering,Thiès
500000,Appartements,170,3,3,Location,Cité keur gorgui,Dakar
280000,Appartements,170,3,3,Location,Liberte 6 extension,Dakar
1100000,Appartements,175,3,4,Location,Ngor,Dakar
1000000,Appartements,150,3,5,Location,Almadies,Dakar
450000,Villas,170,4,3,Location,Nord foire,Dakar
750000,Appartements,169,3,3,Location,Mamelles,Dakar
400000,Appartements,170,3,3,Location,Mamelles,Dakar
2500000,Appartements,170,3,3,Location,Fenêtre mermoz,Dakar
250000,Appartements,170,2,3,Location,Nord foire,Dakar
275000,Appartements,100,2,2,Location,Hann maristes,Dakar
1300000,Villas,250,5,4,Location,Ngor,Dakar
175000,Appartements,40,3,1,Location,Sendou,Dakar
2200000,Appartements,170,3,3,Location,Fann,Dakar
1000000,Appartements,200,3,3,Location,Mermoz,Dakar
750000,Appartements,150,3,2,Location,Virage,Dakar
3800000,Appartements,170,3,3,Location,Mamelles,Dakar
1700000,Appartements,170,2,3,Location,Almadies,Dakar
1200000,Appartements,150,3,4,Location,Virage,Dakar
300000,Appartements,170,2,3,Location,Yoff,Dakar
250000,Appartements,170,3,3,Location,Guediawaye,Dakar
550000,Appartements,110,2,3,Location,VDN,Dakar
362600,Appartements,90,2,2,Location,Almadies,Dakar
1000000,Villas,300,4,4,Location,Ngor,Dakar
1000000,Villas,200,4,5,Location,Ngor,Dakar
1200000,Appartements,170,3,3,Location,Plateau,Dakar
1500000,Appartements,170,3,2,Location,Mermoz,Dakar
350000,Appartements,90,2,2,Location,Almadies,Dakar
275000,Appartements,170,2,2,Location,Mermoz,Dakar
650000,Appartements,200,3,3,Location,Almadies,Dakar
300000,Appartements,170,2,3,Location,Virage,Dakar
1500000,Appartements,170,3,4,Location,Ngor,Dakar
1500000,Appartements,170,3,4,Location,Mermoz,Dakar
250000,Appartements,170,2,2,Location,Ouakam,Dakar
350000,Appartements,170,3,4,Location,VDN,Dakar
15,Villas,170,4,5,Location,Mamelles,Dakar
200000,Appartements,170,2,2,Location,Golf,Dakar
500000,Appartements,170,3,3,Location,Mamelles,Dakar
1400000,Villas,350,4,4,Location,Almadies,Dakar
360000,Appartements,150,2,3,Location,Ouakam,Dakar
450000,Appartements,150,2,2,Location,Yoff,Dakar
900000,Appartements,150,3,4,Location,Mermoz,Dakar
1700000,Appartements,170,3,4,Location,Almadies,Dakar
150000,Appartements,170,1,3,Location,Sicap foire,Dakar
3000000,Villas,300,7,11,Location,Mamelles,Dakar
1000000,Appartements,250,3,5,Location,Almadies,Dakar
1000000,Appartements,197,3,3,Location,Point-e,Dakar
310000,Appartements,170,2,2,Location,Liberte 6 extension,Dakar
700000,Appartements,250,2,3,Location,Almadies,Dakar
1,Appartements,170,3,3,Location,Plateau,Dakar
850000,Appartements,170,3,4,Location,Yoff,Dakar
350000,Appartements,170,3,3,Location,Liberte 3,Dakar
425000,Appartements,170,2,2,Location,Virage,Dakar
300000,Appartements,110,2,2,Location,Mamelles,Dakar
3000000,Appartements,170,3,4,Location,Fann,Dakar
600000,Appartements,170,2,2,Location,Mamelles,Dakar
210000,Appartements,170,3,3,Location,Grand-Dakar,Dakar
900000,Appartements,170,3,2,Location,Almadies,Dakar
2000000,Appartements,241,3,3,Location,Almadies,Dakar
518000,Appartements,150,3,3,Location,Almadies,Dakar
300000,Appartements,170,2,2,Location,Grand-Yoff,Dakar
600000,Appartements,170,3,3,Location,Liberte 6,Dakar
550000,Appartements,170,3,3,Location,Mermoz,Dakar
375000,Appartements,170,2,3,Location,Mamelles,Dakar
